show_id,title,director,cast,country,date_added,release_year,rating,content_category,preferences,Cluster
s41,He-Man and the Masters of the Universe,Unknown Director,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,"September 16, 2021",2021,TV-Y7,"TV Show - Kids' TV, TV Sci-Fi & Fantasy",56,1
s48,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,TV-MA,"TV Show - International TV Shows, Romantic TV Shows, TV Comedies",47,0
s50,Castle and Castle,Unknown Director,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas",66,2
s51,Dharmakshetra,Unknown Director,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,TV-PG,"TV Show - International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",74,0
s56,Nailed It,Unknown Director,"Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,TV-PG,TV Show - Reality TV,41,1
s66,Numberblocks,Unknown Director,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,"September 15, 2021",2021,TV-Y,TV Show - Kids' TV,100,4
s67,Raja Rasoi Aur Anya Kahaniyan,Unknown Director,Unknown Cast,India,"September 15, 2021",2014,TV-G,"TV Show - Docuseries, International TV Shows",64,3
s68,Saved by the Bell,Unknown Director,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,"September 15, 2021",1994,TV-PG,"TV Show - Kids' TV, TV Comedies",64,4
s70,Stories by Rabindranath Tagore,Unknown Director,Unknown Cast,India,"September 15, 2021",2015,TV-PG,"TV Show - International TV Shows, TV Dramas",85,3
s71,Too Hot To Handle: Latino,Unknown Director,Itatí Cantoral,,"September 15, 2021",2021,TV-MA,"TV Show - International TV Shows, Reality TV, Romantic TV Shows",83,0
s73,Jack Whitehall: Travels with My Father,Unknown Director,"Jack Whitehall, Michael Whitehall",United Kingdom,"September 14, 2021",2021,TV-MA,"TV Show - British TV Shows, Docuseries, International TV Shows",47,1
s75,The World's Most Amazing Vacation Rentals,Unknown Director,Unknown Cast,,"September 14, 2021",2021,TV-PG,TV Show - Reality TV,88,1
s77,Yowamushi Pedal,Unknown Director,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,"September 14, 2021",2013,TV-14,"TV Show - Anime Series, International TV Shows",88,1
s83,Lucifer,Unknown Director,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,"September 10, 2021",2021,TV-14,"TV Show - Crime TV Shows, TV Comedies, TV Dramas",98,1
s84,Metal Shop Masters,Unknown Director,Jo Koy,,"September 10, 2021",2021,TV-MA,TV Show - Reality TV,90,0
s86,Pokémon Master Journeys: The Series,Unknown Director,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",,"September 10, 2021",2021,TV-Y7,"TV Show - Anime Series, Kids' TV",50,4
s88,Titipo Titipo,Unknown Director,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",,"September 10, 2021",2019,TV-Y,"TV Show - Kids' TV, Korean TV Shows",84,1
s90,Mighty Raju,Unknown Director,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",,"September 9, 2021",2017,TV-Y7,TV Show - Kids' TV,89,4
s93,Into the Night,Unknown Director,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,"September 8, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas, TV Mysteries",100,1
s96,The Circle,Unknown Director,Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,TV-MA,TV Show - Reality TV,54,4
s98,Kid Cosmic,Unknown Director,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,"September 7, 2021",2021,TV-Y7,"TV Show - Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",52,4
s99,Octonauts: Above & Beyond,Unknown Director,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",2021,TV-Y,"TV Show - British TV Shows, Kids' TV",94,0
s100,On the Verge,Unknown Director,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States","September 7, 2021",2021,TV-MA,"TV Show - TV Comedies, TV Dramas",83,4
s101,Tobot Galaxy Detectives,Unknown Director,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",,"September 7, 2021",2019,TV-Y7,TV Show - Kids' TV,94,4
s103,Countdown: Inspiration4 Mission to Space,Jason Hehir,Unknown Cast,,"September 6, 2021",2021,TV-14,"TV Show - Docuseries, Science & Nature TV",57,3
s105,Tayo the Little Bus,Unknown Director,"Robyn Slade, Kami Desilets",South Korea,"September 6, 2021",2016,TV-Y,"TV Show - Kids' TV, Korean TV Shows",61,2
s107,Bunk'd,Unknown Director,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,"September 5, 2021",2021,TV-G,"TV Show - Kids' TV, TV Comedies",97,1
s109,Dive Club,Unknown Director,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,"September 3, 2021",2021,TV-G,"TV Show - Kids' TV, TV Dramas, Teen TV Shows",58,0
s110,La casa de papel,Unknown Director,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver",Spain,"September 3, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, Spanish-Language TV Shows",50,1
s111,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Unknown Cast,,"September 3, 2021",2021,TV-MA,"TV Show - Docuseries, International TV Shows, Spanish-Language TV Shows",71,1
s112,Sharkdog,Unknown Director,"Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji","United States, Singapore","September 3, 2021",2021,TV-Y,TV Show - Kids' TV,86,4
s121,Heroes of Goo Jit Zu,Unknown Director,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,"September 2, 2021",2021,TV-Y7,"TV Show - Kids' TV, TV Comedies",41,4
s122,Hotel Del Luna,Unknown Director,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",,"September 2, 2021",2019,TV-14,"TV Show - International TV Shows, Romantic TV Shows, TV Comedies",80,4
s124,Luv Kushh,Unknown Director,Unknown Cast,,"September 2, 2021",2012,TV-Y7,TV Show - Kids' TV,88,4
s125,Pororo - The Little Penguin,Unknown Director,Unknown Cast,South Korea,"September 2, 2021",2013,TV-Y7,"TV Show - Kids' TV, Korean TV Shows",90,1
s126,Q-Force,Unknown Director,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,"September 2, 2021",2021,TV-MA,"TV Show - Crime TV Shows, TV Action & Adventure, TV Comedies",94,4
s133,Brave Animated Series,Unknown Director,"Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui",,"September 1, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Action & Adventure, TV Comedies",90,4
s148,How to Be a Cowboy,Unknown Director,Unknown Cast,,"September 1, 2021",2021,TV-PG,TV Show - Reality TV,41,4
s149,HQ Barbers,Gerhard Mostert,"Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo",,"September 1, 2021",2020,TV-14,TV Show - TV Shows,99,4
s154,Kid-E-Cats,Unknown Director,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,"September 1, 2021",2016,TV-Y,TV Show - Kids' TV,70,4
s155,Kuroko's Basketball,Unknown Director,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,"September 1, 2021",2015,TV-MA,"TV Show - Anime Series, International TV Shows, Teen TV Shows",53,4
s161,Major Dad,Unknown Director,"Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher",United States,"September 1, 2021",1992,TV-PG,TV Show - TV Comedies,61,4
s166,Oldsters,Unknown Director,"Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer",,"September 1, 2021",2019,TV-MA,"TV Show - Crime TV Shows, International TV Shows, Spanish-Language TV Shows",79,4
s182,Turning Point: 9/11 and the War on Terror,Unknown Director,Unknown Cast,,"September 1, 2021",2021,TV-14,TV Show - Docuseries,61,2
s185,Sparking Joy,Unknown Director,Marie Kondo,United States,"August 31, 2021",2021,TV-PG,TV Show - Reality TV,50,1
s187,Hometown Cha-Cha-Cha,Unknown Director,"Shin Min-a, Kim Seon-ho, Lee Sang-yi, Gong Min-jeung, Kim Young-ok, Cho Han-cheul, In Gyo-jin, Lee Bong-ryeon, Cha Cheong-hwa, Kang Hyung-suk",,"August 29, 2021",2021,TV-14,"TV Show - International TV Shows, Romantic TV Shows, TV Comedies",47,1
s188,The Ingenuity of the Househusband,Unknown Director,Kenjiro Tsuda,,"August 29, 2021",2021,TV-G,"TV Show - International TV Shows, TV Comedies",51,1
s190,Bread Barbershop,Unknown Director,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",,"August 28, 2021",2020,TV-Y,"TV Show - Kids' TV, TV Comedies",61,0
s194,D.P.,Unknown Director,"Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",", South Korea","August 27, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas",61,1
s195,Deadly Sins,Unknown Director,"Frank Ramirez, Patricia Castañeda, Chela del Río, Patrick Delmas, María José Martínez, Robinson Díaz, Juan Ángel, Guillermo Olarte, Constanza Duque, Marcela Carvajal",,"August 27, 2021",2002,TV-MA,"TV Show - International TV Shows, Spanish-Language TV Shows, TV Dramas",55,1
s198,I Heart Arlo,Unknown Director,"Michael J. Woodard, Mary Lambert, Jonathan Van Ness, Haley Tju, Brett Gelman, Tony Hale, Vincent Rodriguez III, Annie Potts, Jessica Williams, Melissa Villaseñor, Cathy Vu, Jennifer Coolidge, Flea",,"August 27, 2021",2021,TV-Y7,"TV Show - Kids' TV, TV Comedies",42,2
s199,King of Boys: The Return of the King,Kemi Adetiba,"Sola Sobowale, Toni Tones, Richard Mofe-Damijo, Efa Iwara, Titi Kuti, Tobechukwu ""iLLbliss"" Ejiofor, Remilekun ""Reminisce"" Safaru, Charles  ""Charly Boy"" Oputa, Nse Ikpe-Etim, Keppy Ekpenyong Bassey, Bimbo Manuel, Akin Lewis, Lord Frank, Osas Ighodaro, Taiwo Ajai-Lycett, Paul Sambo",Nigeria,"August 27, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, TV Dramas",78,1
s213,Rebellion,Unknown Director,"Charlie Murphy, Ruth Bradley, Sarah Greene, Brian Gleeson, Michelle Fairley, Ian McElhinney, Michael Ford-FitzGerald, Paul Reid, Barry Ward, Tom Turner, Perdita Weeks, Andrew Simpson, Sophie Robinson",Ireland,"August 27, 2021",2016,TV-MA,"TV Show - International TV Shows, TV Dramas",57,0
s214,RIDE ON TIME,Unknown Director,"King & Prince, Hey! Say! JUMP, KAT-TUN, NEWS, Kansai Johnny's Jr., Snow Man, Tomoyuki Yara, Travis Japan, Bi shonen, SixTONES, HiHi Jets, Kis-My-Ft2, Koichi Domoto",,"August 27, 2021",2021,TV-PG,"TV Show - Docuseries, International TV Shows",54,1
s219,Titletown High,Unknown Director,Unknown Cast,,"August 27, 2021",2021,TV-14,"TV Show - Reality TV, Teen TV Shows",80,2
s220,EDENS ZERO,Unknown Director,"Takuma Terashima, Mikako Komatsu, Rie Kugimiya, Hiromichi Tezuka, Shiori Izawa, Shiki Aoki, Sayaka Ohara, Hochu Otsuka, Kikuko Inoue",Japan,"August 26, 2021",2021,TV-14,"TV Show - Anime Series, International TV Shows",65,1
s221,Family Reunion,Unknown Director,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree",United States,"August 26, 2021",2021,TV-PG,"TV Show - Kids' TV, TV Comedies",56,2
s223,Clickbait,Brad Anderson,"Zoe Kazan, Betty Gabriel, Adrian Grenier, Phoenix Raei, Abraham Lim, Jessica Collins, Camaron Engels, Jaylin Fletcher, Liz Alexander, Joyce Guy, Daniel Henshall, Ian Meadows, Jamie Timony, Steve Mouzakis, Becca Lish",,"August 25, 2021",2021,TV-MA,"TV Show - Crime TV Shows, TV Dramas, TV Mysteries",67,0
s224,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",Unknown Cast,,"August 25, 2021",2021,TV-MA,"TV Show - Crime TV Shows, Docuseries, International TV Shows",54,0
s225,Motel Makeover,Unknown Director,Unknown Cast,,"August 25, 2021",2021,TV-14,"TV Show - International TV Shows, Reality TV",65,2
s226,Open Your Eyes,Unknown Director,"Maria Wawreniuk, Ignacy Liss, Michał Sikorski, Wojciech Dolatowski, Klaudia Koścista, Zuzanna Galewicz, Marta Nieradkiewicz, Sara Celler Jezierska, Pola Król, Marcin Czarnik, Martyna Nowakowska",,"August 25, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas, TV Mysteries",83,2
s227,Post Mortem: No One Dies in Skarnes,Unknown Director,"Kathrine Thorborg Johansen, Elias Holmen Sørensen, André Sørum, Kim Fairchild, Sara Khorami, Terje Strømdahl, Øystein Røger, Marianne Jonger, Martin Karelius",,"August 25, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Comedies, TV Dramas",50,1
s233,Wheel of Fortune,Unknown Director,"Pat Sajak, Vanna White",United States,"August 25, 2021",2019,TV-G,TV Show - Reality TV,75,1
s235,Oggy Oggy,Unknown Director,Unknown Cast,,"August 24, 2021",2021,TV-Y,"TV Show - Kids' TV, TV Comedies",97,4
s242,Manifest,Unknown Director,"Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur",United States,"August 21, 2021",2021,TV-14,"TV Show - TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",100,1
s243,Comedy Premium League,Unknown Director,Unknown Cast,,"August 20, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Comedies",57,0
s244,Everything Will Be Fine,Unknown Director,"Lucía Uribe, Flavio Medina, Isabella Vazquez Morales, Pierre Louis, Mercedes Hernández",,"August 20, 2021",2021,TV-MA,"TV Show - International TV Shows, Spanish-Language TV Shows, TV Comedies",98,1
s246,Korean Cold Noodle Rhapsody,Unknown Director,Paik Jong-won,,"August 20, 2021",2021,TV-PG,"TV Show - Docuseries, International TV Shows",71,0
s249,The Chair,Unknown Director,"Sandra Oh, Jay Duplass, Holland Taylor, David Morse, Bob Balaban, Nana Mensah, Everly Carganilla",,"August 20, 2021",2021,TV-MA,"TV Show - TV Comedies, TV Dramas",65,1
s255,Go! Go! Cory Carson,Unknown Director,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain",United States,"August 18, 2021",2021,TV-Y,TV Show - Kids' TV,54,4
s261,The Defeated,Unknown Director,"Taylor Kitsch, Nina Hoss, Logan Marshall-Green, Michael C. Hall, Tuppence Middleton, Mala Emde, Maximilian Ehrenreich, Sebastian Koch, Anne Ratte-Polle, Lena Dörrie, Benjamin Sadler",,"August 18, 2021",2020,TV-MA,"TV Show - Crime TV Shows, International TV Shows, TV Dramas",44,0
s264,Mother Goose Club,Unknown Director,Unknown Cast,United States,"August 16, 2021",2016,TV-Y,TV Show - Kids' TV,47,1
s266,Rascal Does Not Dream of Bunny Girl Senpai,Unknown Director,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Japan,"August 15, 2021",2018,TV-14,"TV Show - Anime Series, International TV Shows, Romantic TV Shows",97,0
s267,The Creative Indians,Unknown Director,Unknown Cast,India,"August 15, 2021",2020,TV-MA,"TV Show - Docuseries, International TV Shows",82,2
s270,Winx Club,Unknown Director,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",Italy,"August 15, 2021",2015,TV-Y7,TV Show - Kids' TV,72,1
s272,Brand New Cherry Flavor,Unknown Director,"Rosa Salazar, Eric Lange, Catherine Keener, Jeff Ward, Manny Jacinto, Hannah Levien, Patrick Fischler",United States,"August 13, 2021",2021,TV-MA,"TV Show - TV Dramas, TV Horror, TV Mysteries",82,4
s273,Fast & Furious Spy Racers,Unknown Director,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",United States,"August 13, 2021",2021,TV-Y7,TV Show - Kids' TV,72,1
s274,Gone for Good,Juan Carlos Medina,"Finnegan Oldfield, Nicolas Duvauchelle, Guillaume Gouix, Garance Marillier, Nailia Harzoune",France,"August 13, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, TV Dramas",41,1
s275,Grace and Frankie,Unknown Director,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",United States,"August 13, 2021",2021,TV-MA,"TV Show - TV Comedies, TV Dramas",94,1
s276,The Kingdom,Unknown Director,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",Argentina,"August 13, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, Spanish-Language TV Shows",78,1
